Name,Tanks
All-Stars,"1x M3 Stuart,1x M22,1x M5A1 Stuart,1x Crusader Mk. III,3x M24,1x M4A2,1x Pz.IV H,2x Jagdpanzer IV,1x Sherman VC,1x Sherman IC ""Trzyniec"",1x Churchill Mk. VII,1x M4A1 (FL10),1x M4A2 (76) W,1x M4A3 (76) W,1x Panther F,1x T26E1-1,1x T26E5"
Anzio,"23x L3/33 CC,1x AMR.35 ZT3,1x A13 Mk. I,1x M2A4,1x L6/40,1x M13/40 (I),3x M13/40 (III),1x M3 Stuart,2x 75/18 M41,1x 75/34 M42,1x M3A3 Stuart,1x M5A1 Stuart,2x Celere Sahariano,2x M15/42,1x 105/25 M43,1x M4A3 (105),1x Pz.III N,3x P40,1x 75/34 M43,1x M24,1x Pz.IV G (IT),1x M4,1x M4A2,1x StuG III G,1x 75/46 M43,1x T-34-57 (1943),1x M4 Tipo IC,1x M4A1 (FL10),1x KW I C 756 (r),1x SU-85M,1x T-34-85 Gai,1x Object 211,1x M4A3 (76) W,1x M36B1,1x Type 62,1x Panther F,1x SU-100,1x M41A1,2x M26A1,1x T26E1-1,1x IS-2 (1944),1x T34,1x M48"
BC Freedom,"1x FCM.36,2x AMR.35 ZT3,3x H.35,1x AMC.35 (ACG-1),1x Char 2C,3x M22,2x B1 ter,1x M3A3 Stuart,3x M5A1 Stuart,1x 	Crusader Mk. III,1x Valentine Mk. IX,1x AMX-13 (FL11),1x ARL-44 (ACL-1),1x M10 GMC,2x M4A4,2x M4A2,1x T 34 747 (r),1x Churchill Mk. VII,1x Sherman VC,1x M4A2 (76) W,3x M4A4 (SA50),1x M4A3E2,1x ARL-44,1x AMX-13,1x M4A2 (76) W"
Bellwall,"1x BT-7M,1x Pz.III L,1x Pz.III M,2x T-34 (1940),1x Pz.IV G,3x T-34 (1941),1x StuG III G,3x T-34-57,1x Sherman VC (APDS),2x T-34-85,1x Jagdpanzer IV/70 (V),1x T-44,1x AMX-13,1x IS-2 (1944),1x Pz. VI B 'Tiger II' (H),1x Pz. V ""Panther"" II"
Bonple,"2x L3/33 CC,2x M2A2,2x H.35,1x H.39,1x M14/41,4x Strv m/40L,1x BT-42,2x T-50,1x B1 bis,1x Valentine Mk. IX,3x Crusader Mk. III,1x StuG III F,2x Cromwell V,1x Churchill Mk. III,1x T-34 (1942),1x M4A2,1x T-34E STZ,1x KV-1S,2x SU-85,1x KV-85,2x Sherman VC,1x T-34-57,1x M4A4 (SA50),1x T-34-85,1x Centurion Mk.1,1x IS-2 (1944)"
Blue Division,"1x Pz.II C,1x Pz.III M,1x M4A3 (105),1x Churchill Mk. I,2x M24,1x T-34 (1940),1x Pz.IV G,1x M4,2x StuG III G,2x SU-85,1x T-34-85E,1x SU-100,1x T-54 (1949)"
Chi-Ha Tan,"1x Ha-Go,1x Pz.III E,1x Ka-Mi,1x Chi-Ha Short Gun,2x Ka-Chi,1x Ho-I,1x Pz.38 (t) n.A.,1x Chi-He,1x BT-7A (F-32),1x Chi-Nu,1x M24,1x AMX-13 (FL11),1x KV-2 (1939),2x M4A4,1x T-34E STZ,1x M4A2,1x Chi-Nu II,1x Chi-to Late,1x StuPz. IV 'Brummbar',1x Sherman VC,1x M4A2 (76) W,1x TOG II,1x Pz. VI 'Tiger' E,1x ARL-44,1x M41A1,1x Sturmtiger,1x M6A2E1,1x Ho-Ri Production"
Count,"3x T-60,1x T-26,3x Pz.35 (t),2x Ka-Mi,1x BT-5,1x Pz.III E,1x A13 Mk. I,1x Toldi IIA,1x T-35,1x BT-42,1x BT-7M,1x Pz.38 (t) F,1x 41M Turan II,1x T-70,1x Pz.III J,1x Crusader Mk. II,1x Valentine Mk. I,2x Pz.III J1,1x Valentine Mk. XI,2x Crusader Mk. III,1x Pz.III M,2x Valentine Mk. IX,1x Archer,1x Churchill Mk. I,1x MK-II ""Matilda"",1x Pz.IV F2,1x StuG III F,1x Achilles,1x Cromwell I,1x T-34 (1942),1x KV-2 (1939),1x Pz.IV J,1x 43M Turan III,1x StuG III G,1x T-34E STZ,1x KV-1S,1x Jagdpanzer IV,1x Churchill Mk. VII,1x T-34-57,1x KV-85,1x VK 30.02 M,1x TOG II,1x Comet,1x T-34-85,1x KV-122,1x Panther G,1x IS-2,2x Centurion Mk.1,1x T-44,1x JPz. VI 'Elefant',1x Pz. VI B 'Tiger II' (H),1x IS-6"
Gregor,"1x L6/40,6x Pz.35 (t),1x Pz.38 (t) A,1x Pz.38 (t) F,1x BT-42,1x Pz.38 (t) n.A.,2x Crusader Mk. II,1x M5A1 Stuart,1x 41M Turan II,5x Pz.III M,1x 105/25 M43,1x Crusader Mk. III,1x Cromwell V,1x M4,3x T-34 (1942),1x 43M Turan III,2x Pz.IV H,1x StuG III G,1x SU-85,1x Comet,2x A30 Challenger,1x Panther G,1x Panther F,1x T-34-100,1x Pz. V ""Panther"" II"
Jatko,"1x T-60,1x BT-5,1x BT-7,6x BT-42,1x T-80,1x Pz.III M,1x StuG III F,1x T-34 (1942),1x Pz.IV J,1x SMK,1x M4A2,1x StuG III G,1x Jagdpanzer IV,1x KV-85,1x T-34-57,2x Comet,1x T-34-85 (D-5T),1x T-34-85 Gai"
