Name,Tanks
All-Stars,"1x Pz.III F,1x A13 Mk. II,2x Tetrarch,3x M2A4"
Anzio,"1x M15/42,3x L3/33 CC,3x M13/40 (III),2x M13/40 (I)"
BC Freedom,"1x M22,1x AMC.35 (ACG-1),3x S.35,1x R.35 (SA38),2x AMR.35 ZT3"
Blue Division,"1x T-70,2x T-26,1x BT-5,1x L6/40,2x Pz.35 (t),1x L3/33 CC"
Bellwall,"1x BT-7M,1x Pz.II C,4x Pz.III E,1x T-60"
Bonple,"1x T-70,1x Strv m/40L,3x Strv m/31,2x M2A2,2x L3/33 CC"
Chi-Ha Tan,"1x Chi-Ha-Kai,3x Chi-Ha,2x Ka-Mi"
Count,"1x Pz.IV E,2x Pz.35 (t),2x Pz.III E,3x T-60"
Gregor,"1x Pz.38 (t) F,1x Pz.38 (t) A,5x Pz.35 (t)"
Jatko,"2x BT-42,1x BT-5,2x Vickers Mk.E,2x Pz.35 (t)"
Kebab,"1x M3A1 Stuart,1x T-28 (1938),1x T-26,3x M2A4,1x R.35 (SA38)"
Koala,"1x M22,1x A13 Mk. II,3x M2A4,1x Tetrarch,1x M2A2"
Kuromorimine,"1x Pz.IV E,3x Pz.III E,3x Pz.35 (t)"
Maginot,"1x Pz.IV E,2x D2,3x R.35 (SA38),3x H.39"
Maple,"1x M3A1 Stuart,3x Tetrarch,3x A13 Mk. I"
Ooarai,"1x Pz.IV E,1x Pz.38 (t) F,1x M2A4,2x A13 Mk. I,1x I-Go/Ko,1x H.39"
Pravda,"1x T-70,2x BT-5,2x T-26,3x T-60"
Saunders,"1x M22,6x M2A4"
Saint Gloriana,"1x M3A1 Stuart,3x A13 Mk. I,3x Tetrarch"
Tategoto,"1x Chi-Ha-Kai,1x Chi-Ha,3x Tetrarch,2x I-Go/Ko,1x Ha-Go"
Viggen,"1x Sav m/43 (1944),1x Pz.II C,1x M2A4,1x S.35,2x Strv m/38,1x Strv m/31"
Waffle,"1x M22,2x M2A4,2x AMC.35 (ACG-1),3x M2A2"
West Kureouji,"1x M3 Stuart,1x A13 Mk. II,5x Tetrarch"
Yogurt,"1x Pz.IV E,4x Pz.35 (t),2x L3/33 CC,2x H.39"
