Tank Name,Cost,BR,Type,Actual BR,Rank,Alias,Internal IDs,,,,,,,,
Ha-Go,8000,0.3 (1.0),LT,0.3,1,,jp_type_95_ha_go_commander | jp_sehatei_mod1 | jp_type_95_ha_go | cn_type_95_ha_go,,,,,,,,
M11/39,13000,0.3 (1.0),MT,0.3,1,,it_m11_39,,,,,,,,
L3/33 CC,11500,0.3 (1.0),LT/TD,0.3,1,L3/33,it_l3_cc,L3/33 {TKS},,,,,,,
FCM.36,10500,0.3 (1.0),LT,0.3,1,,fr_fcm_36,,,,,,,,
AMC.34 YR,5000,0.3 (1.0),LT,0.3,1,,fr_amc_34,,,,,,,,
T-60,10000,0.5,LT,0.5,1,,ussr_t_60_1941,,,,,,,,
T-26-4,11000,0.5,LT,0.5,1,,ussr_t_26_4,,,,,,,,
Pz.III B,15000,0.5,MT,0.5,1,,germ_pzkpfw_III_ausf_B,,,,,,,,
I-Go/Ko,16000,0.5,LT,0.5,1,,jp_type_89b_i_go_otsu,,,,,,,,
Chi-Ha,15000,0.5,MT,0.5,1,,cn_type_97_chi_ha | jp_type_97_chi_ha,,,,,,,,
M2 Medium,20000,0.7,MT,0.7,1,,us_m2_medium,,,,,,,,
L6/40,20000,0.7,LT,0.7,1,L6/40 {AH-IV},it_l6 | it_l6_leone,,,,,,,,
Vickers Mk.E,17000,0.7,LT,0.7,1,Vickers Mk.E {7TP},sw_vickers_mk_e_37,,,,,,,,
T-26E (FIN),20000,0.7,LT,0.7,1,,sw_vickers_mk_e_45,,,,,,,,
BM-8-24,48000,0.7,LT,0.7,1,,ussr_bm_8_24,,,,,,,,
M2A2,10900,0.7 (1.0),LT,0.7,1,M2A2 {6-Ton Twin},us_m2a2,,,,,,,,
H.35,10300,0.7 (1.0),LT,0.7,1,,fr_hotchkiss_h35,,,,,,,,
H.39,20000,0.7 (1.0),LT,0.7,1,,fr_hotchkiss_h39_cambronne | fr_hotchkiss_h39,,,,,,,,
R.35 (SA38),20000,0.7 (1.0),LT,0.7,1,,fr_renault_r39,,,,,,,,
AMR.35 ZT3,19000,0.7 (1.0),TD,0.7,1,,fr_amr_35_zt3,,,,,,,,
M2A4,20000,1.0,LT,1.0,1,,us_m2a4 | us_m2a4_1st_armor_div,,,,,,,,
BT-5,24000,1.0,LT,1.0,1,,ussr_bt_5 | cn_bt_5,,,,,,,,
T-26,20000,1.0,LT,1.0,1,,ussr_t_26_1940 | ussr_t_26_1940_1st_GvTBr | sw_vickers_mk_e_45 | cn_t_26_1940 | cn_t_26_no531,,,,,,,,
Pz.III E,20000,1.0,MT,1.0,1,,germ_pzkpfw_III_ausf_E | germ_pzkpfw_III_ausf_E_race,,,,,,,,
Pz.35 (t),20000,1.0,LT,1.0,1,Pz.35(t),germ_pzkpfw_35t_romania_mare | germ_pzkpfw_35t,,,,,,,,
A13 Mk. I,23000,1.0,LT,1.0,1,,uk_a_13_mk1 | uk_a_13_mk1_3rd_rtr,,,,,,,,
Tetrarch,21000,1.0,LT,1.0,1,,uk_a17_mk_1_tetrarch_race | uk_a17_mk_1_tetrarch,,,,,,,,
Ka-Mi,17000,1.0,LT,1.0,1,Ka-Mi {T-38},jp_type_2_ka_mi,,,,,,,,
Ke-Ni,18000,1.0,LT,1.0,1,,jp_type_98_ke_ni,,,,,,,,
Strv m/31,20000,1.0,LT,1.0,1,Strv m/31 {10TP},sw_strv_m31,,,,,,,,
Strv m/38,20000,1.0,LT,1.0,1,,sw_strv_m38,,,,,,,,
Strv m/39,20000,1.0,LT,1.0,1,,sw_strv_m39_td | sw_strv_m39,,,,,,,,
D2,25000,1.0,MT,1.0,1,,fr_renault_d2,,,,,,,,
S.35,23000,1.0 (1.3),MT,1.0,1,,fr_somua_s35,,,,,,,,
AMC.35 (ACG-1),23000,1.0 (1.3),LT,1.0,1,,fr_amc_35,,,,,,,,
M13/40 (I),20000,1.0 (2.0),MT,1.0,1,,it_m13_40_serie_1,,,,,,,,
M13/40 (II),20000,1.0 (2.0),MT,1.0,1,,it_m13_40_serie_2,,,,,,,,
M13/40 (III),20000,1.0 (2.0),MT,1.0,1,,it_m13_40_serie_3,,,,,,,,
BT-7,28000,1.3,LT,1.3,1,,ussr_bt_7_1937 | ussr_bt_7_1937_race | ussr_bt_7_1937_td,,,,,,,,
T-28 (1938),26000,1.3,LT,1.3,1,,ussr_t_28_1938,,,,,,,,
T-35,46000,1.3,HT,1.3,1,,ussr_t_35,,,,,,,,
Pz.IV C,36000,1.3,MT,1.3,1,,germ_pzkpfw_IV_ausf_C,,,,,,,,
Pz.II C,32000,1.3,LT,1.3,1,,germ_pzkpfw_II_ausf_C_DAK | germ_pzkpfw_II_ausf_C | germ_pzkpfw_II_ausf_C_td,,,,,,,,
Pz.II F,32000,1.3,LT,1.3,1,,germ_pzkpfw_II_ausf_F,,,,,,,,
Pz.38 (t) A,26000,1.3,LT,1.3,1,Pz.38(t) A,germ_pzkpfw_38t_ausf_A,,,,,,,,
Pz. Neubaufahrzeug,36000,1.3,MT,1.3,1,Nbfz.,germ_nbfz_VI,,,,,,,,
A13 Mk. II,26000,1.3,LT,1.3,1,,uk_a_13_mk2,,,,,,,,
A13 Mk. II (1939),34000,1.3,LT,1.3,1,A13 Mk II (1939),uk_a_13_mk2_1939,,,,,,,,
Vickers Independent,46000,1.3,HT,1.3,1,Independent,uk_a1e1_independent,,,,,,,,
Ro-Go,46000,1.3,HT,1.3,1,,jp_hiro_sha | jp_type_95_heavy,,,,,,,,
Toldi IIA,26000,1.3,LT,1.3,1,,it_toldi_II_a,,,,,,,,
RBT-5,44000,1.3,LT,1.3,1,,ussr_rbt_5,,,,,,,,
SAu 40,25000,1.3 (1.7),TD/SPG,1.3,2,,fr_somua_sau40,,,,,,,,
M14/41,36000,1.3 (2.0),MT,1.3,1,,it_m14_41,,,,,,,,
Strv m/40L,28000,1.3 (2.0),LT,1.3,1,Strv m/40L {14TP},sw_strv_m40l,,,,,,,,
T-26E,30000,1.5,LT,1.5,1,T-26E {9TP},ussr_t_26E,,,,,,,,
BT-42,30000,1.5,LT/SPG,1.5,1,,sw_bt_42,,,,,,,,
M3 Stuart,34000,1.7,LT,1.7,1,,us_m3_stuart,,,,,,,,
BT-7M,34000,1.7,LT,1.7,1,,ussr_bt_7_m,,,,,,,,
Stuart I,34000,1.7,LT,1.7,1,M3 Stuart,us_m3_stuart | uk_m3_stuart,,,,,,,,
Chi-Ha Short Gun,46000,1.7,MT/SPG,1.7,2,Chi-Ha SG,jp_type_97_chi_ha_12cm,,,,,,,,
Sav m/43 (1944),46000,1.7,TD/SPG,1.7,2,Sav m/43 (44),sw_sav_m43_1944,,,,,,,,
Char 2C,60000,1.7,HT,1.7,2,,fr_char_2c,,,,,,,,
75/18 M41,41000,1.5,TD/SPG,1.5,2,,it_semovente_m41_75_18,,,,,,,,
Pz.III F,46000,1.7 (1.3),MT,1.7,1,,germ_pzkpfw_III_ausf_F,,,,,,,,
Pz.38 (t) F,34000,1.7 (2.3),LT,1.7,1,Pz.38(t) F,germ_pzkpfw_38t_ausf_F,,,,,,,,
T-80,44000,2.0,LT,2.0,2,,ussr_t_80,,,,,,,,
SU-122,81000,2.5,TD,2.5,2,,ussr_su_122,,,,,,,,
T-28,56000,2.0,MT,2.0,2,,sw_t_28 | ussr_t_28,,,,,,,,
M22,44000,2.0,LT,2.0,2,M22 Locust,us_m22_locust_race | us_m22_locust,,,,,,,,
T-70,34000,1.7,LT,1.7,1,,ussr_t_70_1942,,,,,,,,
Pz.IV E,56000,2.0,MT,2.0,1,,germ_pzkpfw_IV_ausf_E,,,,,,,,
Pz.38 (t) n.A.,44000,2.0,LT,2.0,2,Pz.38(t) n.a,germ_pzkpfw_38t_na,,,,,,,,
Ka-Chi,56000,2.0,MT,2.0,1,,jp_type_3_ka_chi,,,,,,,,
Ho-I,56000,2.0,MT,2.0,2,,jp_type_2_ho_i,,,,,,,,
Sav m/43 (1946),56000,2.0,TD/SPG,2.0,2,Sav m/43 (46),sw_sav_m43_1946,,,,,,,,
Ho-Ni III,56000,2.0,TD,2.0,2,,jp_type_3_ho_ni_III,,,,,,,,
M14/41 (47/40),41000,1.5,MT,1.5,2,,it_m14_41_47_40,,,,,,,,
M15/42,46000,1.7,MT,1.7,2,,it_m15_42,,,,,,,,
M3A1 Stuart,44000,2.0 (2.3),LT,2.0,1,,us_m3a1_stuart | us_m3a1_stuart_usmc | uk_m3a1_stuart,,,,,,,,
Stuart III,44000,2.0 (2.3),LT,2.0,1,M3A1 Stuart,us_m3a1_stuart | us_m3a1_stuart_usmc | uk_m3a1_stuart,,,,,,,,
Chi-Ha-Kai,56000,2.0 (2.3),MT,2.0,2,,jp_type_97_kai | cn_type_97_kai | jp_type_97_kai_td,,,,,,,,
40M Turan I,56000,2.0 (2.3),MT,2.0,2,Turan I,it_40m_turan_1,,,,,,,,
41M Turan II,56000,2.0 (2.3),MT,2.0,2,Turan II,it_41m_turan_2,,,,,,,,
T-28E,72000,2.3,MT,2.3,2,,ussr_t_28E,,,,,,,,
T-50,56000,2.3,LT,2.3,2,,ussr_t_50 | sw_t_50_fin,,,,,,,,
SU-76D,72000,2.3,TD,2.3,2,,ussr_su_76d,,,,,,,,
Pz.III J,72000,2.3,MT,2.3,2,T-III,ussr_pzkpfw_III_ausf_J_L42 | uk_m3a1_stuart | germ_pzkpfw_III_ausf_J_L42,,,,,,,,
StuG III A,72000,2.3,TD/SPG,2.3,2,,germ_stug_III_ausf_A,,,,,,,,
Churchill AVRE,88000,2.3,HT,2.3,2,,uk_churchill_avre,,,,,,,,
Valentine Mk. I,72000,2.3,MT,2.3,2,Valentine I,uk_valentine_mk_9,,,,,,,,
75/32 M41,72000,2.3,TD/SPG,2.3,2,,it_semovente_m41_75_32,,,,,,,,
75/34 M42,72000,2.3,TD/SPG,2.3,2,,it_semovente_m42_75_34,,,,,,,,
Strv m/41 S-I,56000,2.3,LT,2.3,2,,sw_strv_m41_s1,,,,,,,,
