Name,Tanks
All-Stars,"AMX-13,M4A4 (SA50),Sherman IC ""Trzyniec"",M4 Tipo IC,M4A2,Achilles,2x Crusader Mk. III,M22"
Anzio,"JPz. VI 'Ferdinand',T34,T26E1-1,T26E5,M26A1,Charioteer,M36B1,M4A3 (76) W,KV-122,M4 Tipo IC,M4A1 (76) W,75/46 M43,KV-1E,43M Turan III,StuG III G,44M Zrinyi I,M4 Hybrid,T-34 (1942),Pz.IV G (IT),M4A4,M24,2x P40,Pz.III N,105/25 M43,T-28E,M3A3 Stuart,BT-7M,Celere Sahariano,M15/42,M14/41,2x M13/40 (III),M11/39,L3/33 CC"
BC Freedom,"2x AMX M4,M26,AMX-13,2x M4A3E2 (76) W,PzBfw VI (P),T-34-85,Comet,SU-85M,T-34-57,M4A2,Jagdpanzer IV,Pz.IV J,M10 GMC,Pz.III M,M22,St. Chamond"
Blue Division,"Pz. V ""Panther"" II,SU-100,2x T-34-85,StuG III G,PT-76,Achilles,AMX-13 (FL11),BT-7A (F-32),105/25 M43,Valentine Mk. I,2x T-50,40M Turan I,BT-7M,Pz.II F,2x L3/33 CC"
Bellwall,"T 34 747 (r),2x Pz.IV H,Avenger,A30 Challenger,M4/T26,KV-220,Object 248,M26E1,Pz. VI B 'Tiger II' (H),T-44-100,Pz. V ""Panther"" II,T29"
Bonple,"IS-4M,IS-6,SU-122-54,T34,Pz. VI B 'Tiger II' (H),AMX M4,Pz. V ""Panther"" II,T-44-100,IS-2 (1944),Sturmtiger,IS-2,KV-220,SU-100,M36 GMC,T-34-85,KV-122,ARL-44,A30 Challenger,Sherman IC ""Trzyniec"",KV-2 (ZiS-6),M4A1 (76) W,T14,KV-2 (1939),M4,T-34 (1942),M24,Pz.IV J,Archer,Pz.III M,Crusader Mk. III,MK-II ""Matilda"",Grant I,M5A1 Stuart,T-50,Pz.IV E,T-28,Chi-Ha-Kai,Char 2C Bis,2x A13 Mk. I,2x M2A2,L3/33 CC"
Chi-Ha Tan,"L3/33 CC"
Count,"Pz. VI B 'Tiger II' (H),T-44-100,T26E1-1,IS-2 (1944),Panther F,Panther G,T-34-85,T-34-57 (1943),KV-1 (ZiS-5),Jagdpanzer IV/70 (V),2x Pz.IV H,Pz.IV G"
Gregor,"T26E1-1,IS-2,Pz. VI 'Tiger' E,Panther A,Panther F,T-34-85,A30 Challenger,3x Cromwell I,Cromwell V,M4A3E2 (76) W"
Jatko,"IS-2,IS-2,T-34-85,Jagdpanzer IV/70 (V),Comet,KV-85,KV-1 (ZiS-5),KV-1E,2x StuG III G,2x Pz.IV H,2x T-34 (1941),T-34 (1942),2x Pz.III M,2x T-50,3x BT-7M,4x BT-42,2x BT-7,RBT-5,3x T-26,2x BT-5"
Kebab,"M4A1 (76) W,StuG III G,Pz.IV G,M24,Pz.III M,StuG III F,M4A3 (105),M5A1 Stuart,BT-42,L3/33 CC"
Koala,"L3/33 CC"
Kuromorimine,"L3/33 CC"
Maginot,"AMX-50 Surbaisse,AMX-50 Foch,Char 25T,Tiger II (H) Sla. 16,AMX M4,CA Lorraine,AMX-13,Panther G,ARL-44,Jagdpanzer IV/70 (V),M4A4 (SA50),StuG III G,Pz.IV H,AMX-13 (FL11),Pz.III M,H.39,St. Chamond"
